City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
saskylakh,68,RU,1551897221,73,71.97,114.09,0.04,10.25
tocopilla,0,CL,1551897065,80,-22.09,-70.2,70.91,6.44
flinders,75,AU,1551897125,58,-34.58,150.85,64.0,8.05
lebu,0,ET,1551897222,84,8.96,38.73,52.51,2.75
rincon,1,US,1551897209,26,32.3,-81.24,51.01,4.7
mlyniv,0,UA,1551895837,93,50.51,25.61,34.0,3.2
karasburg,88,NA,1551897223,26,-28.01,18.75,82.25,15.84
hobart,20,AU,1551897135,66,-42.88,147.33,48.2,13.87
ancud,75,CL,1551895200,72,-41.87,-73.83,68.0,14.99
kaitangata,0,NZ,1551897203,68,-46.28,169.85,57.99,1.99
torbay,90,CA,1551897122,92,47.66,-52.73,24.01,7.56
san juan,0,AR,1551897181,45,-31.54,-68.53,87.11,4.32
hermanus,0,ZA,1551897127,90,-34.42,19.24,66.99,7.0
sembakung,92,ID,1551897227,100,3.82,117.25,73.88,1.07
portland,90,US,1551896772,74,45.52,-122.67,37.99,4.7
broken hill,0,AU,1551891600,37,-31.97,141.45,55.4,14.99
lasem,20,ID,1551895200,100,-6.99,112.52,77.0,4.7
nelson bay,90,AU,1551897101,64,-32.72,152.14,69.8,17.22
kamenka,12,RU,1551896085,68,53.19,44.05,33.01,16.28
chama,88,ZM,1551897230,98,-11.22,33.16,65.47,1.63
bambous virieux,40,MU,1551896944,83,-20.34,57.76,78.8,6.93
pevek,80,RU,1551897231,77,69.7,170.27,-0.6,2.08
asosa,0,ET,1551897231,23,10.07,34.53,82.21,11.03
atascadero,90,US,1551897090,93,35.49,-120.67,61.0,17.22
opuwo,20,NA,1551897232,27,-18.06,13.84,83.33,8.23
san quintin,0,PH,1551897233,86,17.54,120.52,66.64,2.42
jiuquan,24,CN,1551897233,66,39.73,98.49,15.2,4.43
khani,90,GE,1551895200,62,41.96,42.96,53.6,5.82
tiksi,80,RU,1551897234,63,71.64,128.87,3.14,2.64
marzuq,12,YE,1551897235,66,14.4,46.47,67.4,2.86
bredasdorp,0,ZA,1551897002,73,-34.53,20.04,71.6,16.11
andros town,40,BS,1551897016,53,24.73,-77.79,73.99,16.11
atlantis,75,ZA,1551897176,77,-33.57,18.5,72.0,3.36
phalodi,0,IN,1551897236,54,27.13,72.36,61.1,5.21
vestmanna,20,FO,1551896400,64,62.16,-7.17,35.6,4.7
port alfred,12,ZA,1551897114,77,-33.59,26.89,82.99,3.0
salinas,40,US,1551897235,82,36.67,-121.66,60.8,10.92
kapaa,90,US,1551896892,88,22.08,-159.32,66.2,24.16
nikolskoye,0,RU,1551897034,61,59.7,30.79,21.0,4.47
port elizabeth,75,US,1551897177,35,39.31,-74.98,30.99,14.99
hithadhoo,76,MV,1551897241,100,-0.6,73.08,83.47,7.45
ahipara,36,NZ,1551895783,100,-35.17,173.16,60.01,4.88
ostrovnoy,64,RU,1551897242,78,68.05,39.51,7.87,15.05
sao filipe,0,CV,1551897242,89,14.9,-24.5,72.53,20.54
wum,56,CM,1551897243,34,6.39,10.08,82.12,3.53
bluff,0,AU,1551897243,91,-23.58,149.07,73.34,6.78
mahebourg,40,MU,1551896944,83,-20.41,57.7,78.8,6.93
ekhabi,36,RU,1551897244,72,53.51,142.97,-6.31,2.98
songjianghe,0,CN,1551897244,70,42.18,127.48,11.29,3.09
yaan,24,NG,1551897244,48,7.38,8.57,90.71,5.66
douentza,0,ML,1551897245,20,15.01,-2.95,84.01,4.09
sarkand,44,KZ,1551897248,94,45.41,79.91,26.99,2.64
marawi,64,PH,1551897022,83,8.0,124.29,77.0,3.0
kodiak,1,US,1551897220,93,39.95,-94.76,32.0,6.93
aldan,76,RU,1551897250,74,58.61,125.39,18.49,5.21
arraial do cabo,0,BR,1551895200,70,-22.97,-42.02,89.6,19.46
souillac,92,FR,1551897184,76,45.6,-0.6,57.2,12.75
nanortalik,0,GL,1551897251,92,60.14,-45.24,32.03,21.43
nome,1,US,1551897246,26,30.04,-94.42,57.0,4.7
severo-kurilsk,32,RU,1551897252,100,50.68,156.12,21.68,12.71
campodarsego,8,IT,1551897246,93,45.5,11.91,54.0,4.7
kudahuvadhoo,76,MV,1551897252,100,2.67,72.89,83.06,9.46
guasdualito,40,VE,1551891600,39,7.24,-70.73,95.0,5.82
gat,0,SN,1551895200,20,14.69,-16.54,96.8,4.7
sur,24,OM,1551897254,98,22.57,59.53,71.27,13.82
omboue,20,GA,1551897254,100,-1.57,9.26,83.69,6.11
georgetown,40,GY,1551891600,74,6.8,-58.16,86.0,13.87
bitung,20,ID,1551895200,94,1.44,125.19,71.6,3.36
wewak,76,PG,1551897256,99,-3.55,143.63,75.95,2.3
ilulissat,20,GL,1551894600,34,69.22,-51.1,17.6,3.36
daokou,92,CN,1551897257,90,35.61,105.12,31.76,12.48
vestmannaeyjar,0,IS,1551891600,100,63.44,-20.27,32.0,18.34
yar-sale,80,RU,1551897258,82,66.83,70.83,12.77,24.11
napanee,75,CA,1551897142,40,44.25,-76.95,19.99,13.87
darlowo,88,PL,1551897259,83,54.42,16.41,43.1,17.85
longyearbyen,20,NO,1551894600,55,78.22,15.63,10.4,20.8
sitka,20,US,1551897018,39,37.17,-99.65,50.0,20.0
ribeira grande,75,PT,1551895200,87,38.52,-28.7,60.8,17.22
iraray,8,PH,1551897260,100,8.99,118.05,77.93,7.23
makakilo city,75,US,1551897110,100,21.35,-158.09,68.0,3.36
broome,75,GB,1551897258,87,52.47,1.45,53.6,17.22
namatanai,24,PG,1551897261,100,-3.66,152.44,81.62,1.74
lasa,20,CY,1551895200,67,34.92,32.53,57.2,9.17
holly hill,1,US,1551897093,30,29.24,-81.04,61.0,9.17
polyarnyy,75,RU,1551895200,72,69.2,33.45,17.6,8.95
faanui,88,PF,1551897212,98,-16.48,-151.75,84.41,9.69
lufilufi,20,WS,1551895200,88,-13.87,-171.6,75.2,3.36
coquimbo,20,CL,1551895200,68,-29.95,-71.34,68.0,16.11
cabo san lucas,75,MX,1551897022,50,22.89,-109.91,81.0,11.41
royan,92,FR,1551897173,76,45.62,-1.03,57.2,12.75
jacareacanga,20,BR,1551895200,66,-6.22,-57.76,89.6,3.36
luderitz,44,NA,1551897265,90,-26.65,15.16,61.64,6.22
aden,24,YE,1551897188,100,12.79,45.03,78.52,2.64
jiexiu,0,CN,1551897265,78,37.02,111.92,22.27,2.98
mayo,20,CA,1551895200,75,63.59,-135.9,-14.81,3.09
chernyakhovsk,24,RU,1551897266,87,54.64,21.81,36.17,8.68
grand island,1,US,1551896884,58,40.92,-98.34,28.99,9.17
chokurdakh,0,RU,1551897267,24,70.62,147.9,-16.84,10.69
narsaq,75,GL,1551894600,34,60.91,-46.05,33.8,39.15
saint george,20,GR,1551894600,50,39.45,22.34,57.2,6.93
ponta do sol,8,BR,1551897268,73,-20.63,-46.0,83.24,4.65
mago,0,RU,1551897268,50,53.27,140.15,-3.43,2.53
nampula,90,MZ,1551891600,100,-15.12,39.26,75.2,4.7
saint-gaudens,36,FR,1551897254,87,43.11,0.72,61.0,19.46
tasiilaq,75,GL,1551894600,53,65.61,-37.64,23.0,23.04
beringovskiy,80,RU,1551897270,91,63.05,179.32,24.92,6.89
adrar,0,DZ,1551895200,16,27.87,-0.29,80.6,8.05
naze,32,NG,1551897271,83,5.43,7.07,80.41,6.78
dingle,12,PH,1551897271,91,11.0,122.67,74.87,11.48
alugan,92,PH,1551897271,97,12.22,125.48,76.27,8.01
mount isa,0,AU,1551895200,53,-20.73,139.49,75.2,4.7
kirovsk,0,RU,1551897272,65,67.62,33.66,11.42,7.56
vao,20,EE,1551897273,85,59.1,26.19,15.29,8.34
praia da vitoria,40,PT,1551897038,77,38.73,-27.07,64.4,26.24
beniganj,0,IN,1551897273,60,27.28,80.45,57.68,3.09
padilla,40,CO,1551895200,43,3.23,-76.31,89.6,4.7
andrews,1,US,1551897076,36,32.32,-102.55,50.0,13.87
los llanos de aridane,40,ES,1551897128,63,28.66,-17.92,66.2,18.34
ausa,0,IN,1551897275,60,18.25,76.5,62.81,2.98
pittsburg,90,US,1551897187,87,38.02,-121.89,60.01,9.17
mercedes,0,UY,1551897275,68,-33.25,-58.03,89.14,5.66
barentu,0,ER,1551897276,27,15.11,37.59,72.44,5.44
kalmunai,0,LK,1551897135,96,7.42,81.82,76.67,6.78
mogadishu,56,SO,1551897044,98,2.04,45.34,81.08,20.87
springfield,1,US,1551896942,34,37.22,-93.29,37.99,6.93
birao,8,CF,1551897277,23,10.3,22.78,83.47,9.57
geelong,68,AU,1551897177,75,-38.15,144.36,57.0,10.29
den helder,90,NL,1551897247,93,52.96,4.76,50.0,16.11
teknaf,92,BD,1551897278,99,20.86,92.31,69.34,2.53
saint-philippe,1,CA,1551897237,36,45.36,-73.48,18.0,13.87
xuddur,0,SO,1551897279,32,4.12,43.89,83.29,10.02
ipubi,64,BR,1551897280,51,-7.65,-40.15,85.81,10.58
waipawa,12,NZ,1551897281,93,-39.94,176.59,47.6,2.64
damaturu,0,NG,1551897281,17,11.75,11.96,87.47,8.9
lugovoy,92,RU,1551897281,89,59.72,65.88,30.32,14.72
zhigansk,80,RU,1551897282,83,66.77,123.37,17.0,13.15
srivardhan,0,IN,1551897282,94,18.03,73.02,65.11,6.44
champerico,75,MX,1551894060,47,16.38,-93.6,80.6,14.99
khatanga,24,RU,1551897283,69,71.98,102.47,-5.59,7.78
muros,75,ES,1551897269,87,42.77,-9.06,55.0,13.87
port hedland,76,AU,1551895200,83,-20.31,118.58,84.2,10.29
chuy,0,UY,1551897285,69,-33.69,-53.46,87.61,12.82
bubaque,0,GW,1551897285,65,11.28,-15.83,89.27,7.67
husavik,36,CA,1551897270,65,50.56,-96.99,9.0,11.01
paamiut,12,GL,1551897286,82,61.99,-49.67,34.87,24.9
ashtian,76,IR,1551897286,76,34.52,50.0,34.1,1.97
harper,1,US,1551897237,32,30.3,-99.24,52.0,11.41
mecca,0,SA,1551897287,42,21.43,39.83,64.16,9.8
san patricio,12,PY,1551897287,69,-26.98,-56.83,86.66,0.74
bilma,0,NE,1551897288,19,18.69,12.92,69.97,4.21
coihaique,90,CL,1551895200,82,-45.58,-72.07,57.2,9.17
hasaki,75,JP,1551897277,100,35.73,140.83,51.01,6.93
marsa matruh,0,EG,1551891600,77,31.35,27.25,59.0,5.82
coos bay,90,US,1551897220,93,43.37,-124.22,44.01,10.29
katsuura,75,JP,1551896683,87,33.93,134.5,50.0,6.93
tuatapere,68,NZ,1551897007,53,-46.13,167.69,66.99,13.0
clyde river,40,CA,1551895200,76,70.47,-68.59,-4.01,3.36
avera,1,US,1551897290,26,33.19,-82.53,48.99,6.93
chapais,75,CA,1551895200,54,49.78,-74.86,1.4,9.17
bowen,75,AU,1551897186,94,-20.01,148.25,75.99,1.12
kulhudhuffushi,20,MV,1551897292,100,6.62,73.07,82.25,10.69
tirumullaivasal,0,IN,1551897292,81,11.24,79.84,82.79,14.61
linxia,92,CN,1551897292,88,35.6,103.21,24.83,0.96
nouakchott,0,MR,1551895200,53,18.08,-15.98,75.2,19.46
arua,76,UG,1551897293,54,3.02,30.91,77.44,4.43
camacha,75,PT,1551895200,51,33.08,-16.33,62.6,16.11
muravlenko,92,RU,1551897294,83,63.79,74.5,15.38,25.57
cortes,88,PH,1551897294,100,9.28,126.19,72.44,4.43
ulaanbaatar,0,MN,1551895200,52,47.92,106.92,17.6,2.24
saint-joseph,90,FR,1551897130,76,43.56,6.97,57.2,5.82
carlagan,64,PH,1551897295,100,14.97,122.05,75.82,4.54
saint-pierre,92,FR,1551897182,81,48.95,4.24,55.4,12.75
dillon,90,US,1551897155,78,45.22,-112.64,19.99,3.36
hobyo,36,SO,1551897297,91,5.35,48.53,78.2,13.27
bonnyville,90,CA,1551895200,65,54.27,-110.74,5.0,6.93
mingguang,20,CN,1551897297,70,32.78,118.01,40.04,15.17
plaridel,0,PH,1551897297,100,13.96,122.02,76.31,10.02
nabire,68,ID,1551897298,95,-3.36,135.5,68.21,1.97
atar,0,MR,1551897298,8,20.52,-13.05,86.75,8.01
karratha,56,AU,1551897299,69,-20.74,116.85,81.08,7.9
daru,0,SL,1551897299,22,7.99,-10.85,98.81,2.42
ojinaga,1,US,1551897119,30,29.56,-104.41,55.99,3.76
carauari,8,BR,1551897300,45,-4.88,-66.9,98.0,4.65
slave lake,90,CA,1551895200,78,55.28,-114.77,10.4,19.46
paracuru,75,BR,1551897254,83,-3.41,-39.03,79.0,13.87
kendari,88,ID,1551897301,97,-3.99,122.52,73.79,2.98
vila velha,75,BR,1551897254,83,-3.71,-38.6,79.0,13.87
litovko,0,RU,1551897301,55,49.24,135.18,-0.6,2.19
devonport,24,AU,1551897124,77,-41.18,146.36,46.99,1.99
chicama,75,PE,1551895200,78,-7.84,-79.15,77.0,10.29
sabla,0,NG,1551897302,38,12.75,4.71,90.67,2.98
leh,76,IN,1551897303,56,34.16,77.58,-8.34,1.19
petropavlovskoye,0,RU,1551895200,84,46.79,142.5,5.0,4.47
fairbanks,90,US,1551897295,85,64.84,-147.72,23.0,3.65
kachug,24,RU,1551897304,62,53.96,105.89,7.37,2.75
kurashiki,80,JP,1551897295,96,34.58,133.77,48.99,7.23
baherden,24,TM,1551897305,87,38.44,57.43,46.61,3.98
humberto de campos,64,BR,1551897305,100,-2.6,-43.46,76.76,14.27
nantucket,1,US,1551897301,23,41.28,-70.1,28.0,17.22
dryden,48,CA,1551895740,60,49.79,-92.84,5.0,10.29
palaikastron,0,GR,1551897009,83,35.2,26.25,55.99,4.0
dar es salaam,40,TZ,1551891600,89,-6.81,39.28,84.2,8.05
pisco,0,PE,1551895200,30,-13.71,-76.2,71.6,11.41
airai,68,TL,1551897307,89,-8.93,125.41,70.24,1.19
hovd,0,NO,1551897302,67,63.83,10.7,28.99,10.29
olinda,75,EC,1551897115,66,-2.03,-79.75,87.01,3.36
karonga,56,MW,1551897309,100,-9.94,33.93,78.52,5.21
sola,0,FI,1551896400,44,62.78,29.36,19.4,10.29
peniche,40,PT,1551897307,76,39.36,-9.38,55.4,13.87
srednekolymsk,56,RU,1551897310,78,67.46,153.71,-12.52,2.42
dunedin,0,NZ,1551896727,99,-45.87,170.5,55.99,9.91
santo estevao,80,BR,1551897090,70,-12.43,-39.25,84.37,8.34
banepa,20,NP,1551894600,81,27.63,85.52,50.0,3.36
carmarthen,32,GB,1551897309,93,51.86,-4.31,53.01,29.97
presidencia roque saenz pena,92,AR,1551897312,87,-26.79,-60.44,81.98,9.01
margate,20,AU,1551897256,66,-43.03,147.26,48.2,13.87
porgera,92,PG,1551897313,97,-5.46,143.15,54.94,2.19
russell,20,AR,1551895200,48,-33.01,-68.8,82.4,9.17
saldanha,92,PT,1551897314,94,41.42,-6.55,43.87,16.51
aksay,0,RU,1551897080,75,47.27,39.86,48.99,6.71
fukue,75,JP,1551897252,93,35.03,136.69,54.0,19.46
poum,0,MK,1551897315,92,41.28,20.71,35.45,1.74
bud,0,NO,1551897109,100,62.91,6.91,36.0,11.41
payo,88,ID,1551897316,94,-3.75,103.64,72.22,5.99
codrington,12,AU,1551897096,83,-28.95,153.24,73.0,4.7
pinega,20,RU,1551897317,70,64.7,43.39,8.72,7.45
mahajanga,40,MG,1551895200,83,-15.72,46.32,80.6,8.23
japura,32,ID,1551897317,95,-0.42,102.29,73.34,2.75
san jose,24,PH,1551897318,98,15.79,120.99,67.09,2.64
ceccano,0,IT,1551897318,71,41.57,13.33,55.99,9.17
knysna,0,ZA,1551895200,73,-34.04,23.05,71.6,9.17
juneau,1,US,1551894960,79,58.3,-134.42,21.2,2.64
umm kaddadah,0,SD,1551897320,22,13.6,26.69,75.05,10.92
puerto madryn,0,AR,1551897320,46,-42.77,-65.04,78.79,24.9
beeskow,0,DE,1551897313,66,52.17,14.25,50.0,12.75
itirucu,24,BR,1551897321,71,-13.53,-40.15,81.98,9.46
le vauclin,75,MQ,1551897102,62,14.55,-60.84,84.2,19.46
bahile,20,PH,1551895200,83,10.0,118.79,77.0,4.7
seymchan,76,RU,1551897323,76,62.93,152.39,-4.69,2.42
yuli,0,NG,1551897323,25,10.52,9.86,85.13,5.21
takoradi,12,GH,1551897323,94,4.89,-1.75,84.59,8.34
forrest city,0,US,1551897179,50,35.01,-90.79,37.0,4.65
oyotun,75,PE,1551895200,29,-6.85,-79.3,66.2,4.7
atherton,40,GB,1551897320,76,53.52,-2.49,53.01,9.17
kirensk,92,RU,1551897325,82,57.78,108.12,22.54,2.42
iralaya,8,HN,1551897325,64,15.0,-83.23,86.17,13.82
shenjiamen,0,CN,1551897325,92,29.96,122.3,48.59,20.42
quatre cocos,40,MU,1551897244,83,-20.21,57.76,78.8,6.93
santa isabel do rio negro,12,BR,1551897326,59,-0.41,-65.02,90.17,7.34
leningradskiy,76,RU,1551897327,84,69.38,178.42,7.24,11.81
okhotsk,0,RU,1551897327,100,59.36,143.24,1.25,3.98
paita,40,PE,1551895200,290,-5.09,-81.11,62.6,6.93
lavrentiya,12,RU,1551897328,100,65.58,-170.99,9.71,5.99
qasigiannguit,20,GL,1551894600,34,68.82,-51.19,17.6,3.36
atyrau,44,KZ,1551895200,100,47.1,51.92,33.8,8.95
shitanjing,20,CN,1551897329,67,39.23,106.34,13.85,2.75
prainha,92,BR,1551897330,75,-1.8,-53.48,83.51,4.99
hamilton,75,BM,1551897124,68,32.3,-64.78,66.99,24.16
guerrero negro,20,MX,1551897220,57,27.97,-114.04,71.32,5.44
bluffton,75,US,1551897327,62,40.74,-85.17,23.0,13.87
buluang,90,PH,1551895200,78,10.47,123.98,77.0,4.7
xiuyan,0,CN,1551897331,41,40.29,123.27,31.04,10.47
riohacha,75,CO,1551895200,69,11.54,-72.91,82.4,11.41
illapel,0,CL,1551897332,80,-31.63,-71.17,69.16,3.76
urucara,32,BR,1551897332,46,-2.54,-57.76,94.58,3.98
dongsheng,8,CN,1551897333,83,29.72,112.52,46.88,11.03
katherine,0,AU,1551895200,78,-14.47,132.26,77.0,3.36
college,90,US,1551897119,85,64.86,-147.8,24.8,3.65
amga,80,RU,1551897334,77,60.89,131.98,8.45,3.87
kapit,92,MY,1551897334,97,2.02,112.94,70.82,1.3
bijie,92,CN,1551897334,98,27.3,105.3,42.56,3.76
noumea,0,NC,1551895200,94,-22.28,166.46,69.8,4.7
talnakh,56,RU,1551897335,70,69.49,88.39,1.07,13.82
suixi,0,CN,1551897335,53,33.92,116.76,35.63,11.25
jerome,75,US,1551897317,50,34.75,-112.11,68.0,24.16
isangel,92,VU,1551895200,83,-19.55,169.27,75.2,6.93
te anau,56,NZ,1551897336,60,-45.41,167.72,59.93,16.84
sorong,92,ID,1551897336,100,-0.86,131.25,80.9,2.3
lahat,88,ID,1551897337,94,-3.78,103.55,72.22,5.99
dakoro,0,NE,1551897337,47,14.51,6.76,85.94,2.86
buenos aires,20,AR,1551896194,78,-34.61,-58.44,93.99,10.29
alofi,12,NU,1551895200,94,-19.06,-169.92,73.4,4.7
lakatoro,48,VU,1551897338,95,-16.11,167.42,79.28,3.42
sibolga,56,ID,1551897338,99,1.74,98.78,69.83,1.97
lazaro cardenas,75,MX,1551897270,29,28.39,-105.62,69.01,4.7
isla mujeres,75,MX,1551897190,69,21.23,-86.73,78.8,4.7
qaqortoq,75,GL,1551894600,34,60.72,-46.03,33.8,39.15
comodoro rivadavia,40,AR,1551895200,27,-45.87,-67.48,78.8,26.4
bakchar,76,RU,1551897340,84,57.02,82.07,18.26,5.1
ossora,88,RU,1551897340,88,59.24,163.07,22.54,17.74
zheleznodorozhnyy,0,RU,1551896963,53,55.75,38.0,21.2,8.95
nuevo progreso,90,US,1551897156,67,26.05,-97.95,60.8,8.01
riyadh,0,SA,1551895200,34,24.63,46.72,64.4,23.04
trairi,92,BR,1551897341,100,-3.28,-39.27,78.29,8.79
hearst,32,CA,1551897342,44,49.69,-83.67,7.96,5.99
manzhouli,0,CN,1551897342,65,49.6,117.43,8.99,2.42
beloha,8,MG,1551897342,68,-25.17,45.06,77.26,15.05
tateyama,92,JP,1551897301,97,36.66,137.31,50.0,1.97
felanitx,20,ES,1551897127,82,39.47,3.15,62.6,9.17
aitape,88,PG,1551897344,96,-3.15,142.36,80.0,6.44
liusha,100,CN,1551897344,98,27.21,108.59,44.0,8.23
arman,32,RU,1551897344,50,59.7,150.17,-10.36,2.53
alexandria,1,US,1551897077,29,31.31,-92.44,53.6,3.36
egvekinot,56,RU,1551897345,71,66.32,-179.17,7.87,2.3
provideniya,0,RU,1551897346,100,64.42,-173.23,16.64,6.11
zhanaozen,0,KZ,1551897346,78,43.35,52.85,38.69,9.13
joue-les-tours,92,FR,1551897126,93,47.35,0.67,53.01,5.82
kiruna,0,SE,1551896400,78,67.86,20.23,12.2,6.93
pecos,1,US,1551897141,33,31.42,-103.49,48.99,4.65
bathsheba,40,BB,1551895200,58,13.22,-59.52,86.0,20.8
khash,36,IR,1551897348,51,28.22,61.21,37.97,2.53
thompson,20,CA,1551895200,54,55.74,-97.86,5.0,11.41
itaituba,20,BR,1551895200,74,-4.26,-55.99,82.4,5.66
wuwei,0,CN,1551897349,84,37.93,102.64,21.14,5.55
kirakira,88,SB,1551897350,97,-10.46,161.92,83.87,10.8
aklavik,75,CA,1551895200,84,68.22,-135.01,6.8,3.2
estelle,1,US,1551897196,23,32.87,-97.01,52.0,14.99
luwuk,64,ID,1551897351,100,-0.95,122.79,77.12,2.08
pitsunda,90,GE,1551895200,81,43.16,40.34,48.2,11.18
sargatskoye,76,RU,1551897351,88,55.6,73.49,27.62,15.73
surt,0,LY,1551897351,72,31.21,16.59,62.45,10.47
panama city,1,US,1551897268,27,30.16,-85.65,52.0,8.05
port lincoln,20,AU,1551897352,100,-34.72,135.86,54.26,5.32
ongandjera,24,NA,1551897353,33,-17.88,15.07,86.84,2.98
gameleira,92,BR,1551897354,74,-8.58,-35.38,81.62,9.57
haines junction,36,CA,1551897056,65,60.75,-137.51,-3.16,2.64
landshut,0,DE,1551897341,75,48.54,12.15,50.0,3.36
alcantara,0,PH,1551897355,98,9.97,123.41,76.09,12.15
port macquarie,90,AU,1551897245,88,-31.43,152.91,71.01,14.99
acapulco,5,MX,1551894120,78,16.86,-99.88,82.4,9.17
monastyrshchina,0,RU,1551897356,72,54.35,31.84,10.34,2.75
sao felix do xingu,88,BR,1551897173,91,-6.64,-51.99,78.2,3.76
